client_id,client_type,gender,country,region,date_of_birth,acquisition_purpose,loan_applied,referral_channel,satisfaction_score
CL100058,Individual,Male,United States,North America - West,1969-12-23,Personal use,Yes,Website,3.0
CL100059,Individual,Female,United States,North America - West,1981-12-14,Investment,No,Friend/Family,3.0
CL100060,Individual,Female,United Arab Emirates,Middle East,1992-01-17,Personal use,Yes,Website,5.0
CL100061,Individual,Male,Germany,Europe - West,1985-09-25,Investment,No,Event,4.0
CL100062,Corporate,Not Specified,United Arab Emirates,Middle East,1988-11-14,Investment,Yes,Website,4.0
CL100063,Individual,Male,India,South Asia,2003-10-19,Investment,No,Friend/Family,3.0
CL100064,Corporate,Not Specified,United Arab Emirates,Middle East,1960-12-03,Investment,No,Property Portal,5.0
CL100065,Corporate,Not Specified,United Arab Emirates,Middle East,1993-04-22,Investment,No,Agent Referral,4.0
CL100066,Corporate,Not Specified,United Arab Emirates,Middle East,1993-07-15,Investment,No,Agent Referral,4.0
CL100067,Individual,Female,United Kingdom,Europe - West,1975-11-10,Investment,No,Social Media,3.0
CL100068,Individual,Male,United States,North America - West,1970-08-01,Personal use,Yes,Friend/Family,5.0
CL100069,Individual,Female,Germany,Europe - West,1979-12-22,Investment,No,Friend/Family,3.0
CL100070,Individual,Male,United States,North America - West,1963-10-22,Personal use,Yes,Social Media,3.0
CL100071,Individual,Male,Germany,Europe - West,1979-11-11,Investment,No,Website,5.0
CL100072,Individual,Female,Singapore,Southeast Asia,1982-03-28,Personal use,Yes,Property Portal,4.0
CL100073,Individual,Male,Canada,North America - East,1982-12-04,Personal use,Yes,Website,3.0
CL100074,Individual,Female,United States,North America - East,1999-12-01,Investment,No,Social Media,3.0
CL100075,Individual,Female,United Kingdom,Europe - West,1974-10-16,Personal use,Yes,Property Portal,2.0
CL100076,Individual,Male,United Kingdom,Europe - West,2004-05-20,Personal use,No,Property Portal,4.0
CL100077,Individual,Male,United Arab Emirates,Middle East,1992-02-15,Investment,Yes,Website,4.0
CL100078,Corporate,Not Specified,United Arab Emirates,Middle East,1990-12-08,Investment,No,Agent Referral,5.0
CL100079,Individual,Female,India,South Asia,1994-07-11,Personal use,Yes,Social Media,2.0
CL100080,Corporate,Not Specified,United Arab Emirates,Middle East,1992-07-11,Investment,No,Agent Referral,3.0
CL100081,Corporate,Not Specified,Germany,Europe - West,1990-05-13,Investment,No,Friend/Family,4.0
CL100082,Individual,Female,Singapore,Southeast Asia,1973-05-28,Investment,No,Social Media,5.0
CL100083,Individual,Female,United States,North America - East,1992-12-31,Personal use,Yes,Agent Referral,5.0
CL100084,Individual,Female,United States,North America - East,1990-10-26,Personal use,No,Agent Referral,4.0
CL100085,Individual,Male,United States,North America - West,2000-08-03,Personal use,Yes,Friend/Family,3.0
CL100086,Individual,Male,India,South Asia,1978-06-09,Personal use,Yes,Property Portal,2.0
CL100087,Individual,Male,Germany,Europe - West,1987-10-29,Investment,No,Agent Referral,4.0
CL100088,Corporate,Not Specified,United States,North America - West,1980-03-01,Investment,No,Website,4.0
CL100089,Corporate,Not Specified,France,Europe - West,1963-07-27,Personal use,No,Agent Referral,4.0
CL100090,Corporate,Not Specified,United States,North America - East,1995-02-23,Investment,No,Friend/Family,4.0
CL100091,Individual,Male,India,South Asia,1974-11-21,Investment,No,Friend/Family,3.0
CL100092,Individual,Male,Germany,Europe - West,1986-05-20,Investment,No,Property Portal,3.0
CL100093,Corporate,Not Specified,United Kingdom,Europe - West,1978-04-12,Investment,No,,5.0
CL100094,Individual,Female,United Kingdom,Europe - West,1964-02-28,Personal use,Yes,Social Media,3.0
CL100095,Individual,Female,United Arab Emirates,Middle East,1984-12-01,Personal use,No,Property Portal,4.0
CL100096,Individual,Male,United Kingdom,Europe - West,1978-03-13,Investment,Yes,Agent Referral,4.0
CL100097,Individual,Male,United States,North America - East,1990-10-18,Investment,No,Social Media,4.0
CL100098,Individual,Male,United States,North America - East,1978-01-03,Investment,No,Social Media,
CL100099,Individual,Female,Brazil,Latin America,2002-04-28,Personal use,Yes,Friend/Family,4.0
CL100100,Individual,Female,Australia,Oceania,1991-04-08,Personal use,No,Property Portal,3.0
CL100101,Individual,Male,India,South Asia,1999-01-19,Investment,No,Agent Referral,4.0
CL100102,Individual,Female,Canada,North America - East,1992-09-06,Personal use,Yes,Property Portal,5.0
CL100103,Individual,Female,Brazil,Latin America,1972-07-16,Investment,No,Property Portal,3.0
CL100104,Individual,Female,India,South Asia,1992-07-07,Personal use,Yes,Event,4.0
CL100105,Corporate,Not Specified,India,South Asia,1965-12-20,Investment,No,Social Media,5.0
CL100106,Individual,Male,Germany,Europe - West,1968-12-11,Investment,Yes,,4.0
CL100107,Individual,Female,Canada,North America - East,1985-12-08,Personal use,Yes,Property Portal,4.0
CL100108,Individual,Male,United States,North America - West,1975-08-29,Personal use,Yes,Friend/Family,5.0
CL100109,Individual,Female,Australia,Oceania,1980-06-19,Investment,Yes,Agent Referral,4.0
CL100110,Corporate,Not Specified,Germany,Europe - West,1990-06-11,Investment,No,Property Portal,4.0
CL100111,Individual,Male,United States,North America - East,1977-09-27,Personal use,Yes,Friend/Family,3.0
CL100112,Individual,Male,United Kingdom,Europe - West,1965-07-06,Investment,Yes,Social Media,
CL100113,Individual,Male,United Arab Emirates,Middle East,1993-04-27,Personal use,No,Event,5.0
CL100114,Individual,Male,United States,North America - West,1995-11-12,Personal use,No,Agent Referral,4.0
CL100115,Corporate,Not Specified,Singapore,Southeast Asia,1976-08-04,Investment,Yes,Friend/Family,2.0
CL100116,Corporate,Not Specified,India,South Asia,1964-11-28,Personal use,No,Agent Referral,5.0
CL100117,Corporate,Not Specified,India,South Asia,1964-12-14,Investment,No,Social Media,3.0
CL100118,Corporate,Not Specified,Germany,Europe - West,1996-08-04,Investment,Yes,Agent Referral,4.0
CL100119,Individual,Male,United Arab Emirates,Middle East,2004-06-25,Personal use,Yes,Agent Referral,4.0
CL100120,Corporate,Not Specified,United Arab Emirates,Middle East,1962-04-25,Investment,No,Agent Referral,5.0
CL100121,Individual,Male,United Arab Emirates,Middle East,1978-10-26,Personal use,Yes,Website,3.0
CL100122,Corporate,Not Specified,United States,North America - East,1989-12-20,Personal use,Yes,Website,3.0
CL100123,Individual,Female,Germany,Europe - West,1983-10-15,Investment,No,Friend/Family,4.0
CL100124,Individual,Male,United States,North America - West,1991-06-10,Personal use,Yes,Agent Referral,3.0
CL100125,Individual,Female,France,Europe - West,1973-11-09,Investment,No,Website,5.0
CL100126,Corporate,Not Specified,United Kingdom,Europe - West,1980-10-21,Investment,No,Website,3.0
CL100127,Individual,Male,United States,North America - West,1979-03-01,Personal use,No,Website,5.0
CL100128,Individual,Female,United States,North America - East,1984-08-08,Investment,No,Website,4.0
CL100129,Individual,Female,United Arab Emirates,Middle East,1980-06-29,Personal use,Yes,Event,3.0
CL100130,Corporate,Not Specified,United States,North America - West,1969-08-22,Investment,No,Social Media,4.0
CL100131,Individual,Male,Australia,Oceania,1995-12-11,Personal use,Yes,Agent Referral,4.0
CL100132,Individual,Female,United Arab Emirates,Middle East,1981-06-12,Personal use,Yes,Social Media,3.0
CL100133,Individual,Other,United Kingdom,Europe - West,1977-01-22,Personal use,Yes,Website,4.0
CL100134,Individual,Female,United Arab Emirates,Middle East,1973-07-01,Investment,Yes,Friend/Family,4.0
CL100135,Individual,Male,United States,North America - West,1980-10-13,Personal use,Yes,Event,3.0
CL100136,Individual,Male,Brazil,Latin America,1995-12-23,Personal use,Yes,Website,4.0
CL100137,Corporate,Not Specified,France,Europe - West,1992-05-17,Investment,No,Website,2.0
CL100138,Corporate,Not Specified,India,South Asia,1983-04-13,Investment,No,Social Media,2.0
CL100139,Corporate,Not Specified,United States,North America - West,1971-09-16,Personal use,No,Website,4.0
CL100140,Individual,Male,France,Europe - West,1987-08-15,Investment,Yes,Website,3.0
CL100141,Individual,Female,France,Europe - West,1997-10-01,Investment,Yes,Friend/Family,3.0
CL100142,Individual,Male,Australia,Oceania,1997-12-07,Personal use,No,Social Media,4.0
CL100143,Corporate,Not Specified,United Arab Emirates,Middle East,1983-12-03,Investment,No,Agent Referral,4.0
CL100144,Individual,Female,Germany,Europe - West,2004-02-07,Personal use,No,Property Portal,3.0
CL100145,Individual,Other,Canada,North America - East,1987-07-15,Personal use,Yes,Website,2.0
CL100146,Individual,Female,United Kingdom,Europe - West,1960-09-01,Personal use,Yes,Agent Referral,2.0
CL100147,Individual,Male,France,Europe - West,1966-01-17,Personal use,Yes,Friend/Family,4.0
CL100148,Individual,Female,Germany,Europe - West,1996-06-01,Personal use,Yes,Social Media,
CL100149,Individual,Male,United States,North America - West,1984-10-03,Personal use,Yes,Social Media,4.0
CL100150,Individual,Other,Singapore,Southeast Asia,2002-09-21,Personal use,Yes,,3.0
CL100151,Individual,Male,Australia,Oceania,2000-03-10,Personal use,No,Friend/Family,4.0
CL100152,Individual,Female,United States,North America - East,1998-11-28,Investment,No,Property Portal,4.0
CL100153,Corporate,Not Specified,United Arab Emirates,Middle East,1976-05-26,Investment,No,Social Media,4.0
CL100154,Individual,Male,United States,North America - East,1987-10-04,Personal use,Yes,Agent Referral,4.0
CL100155,Individual,Female,India,South Asia,1983-05-18,Investment,No,Friend/Family,4.0
CL100156,Corporate,Not Specified,United Kingdom,Europe - West,1981-01-10,Investment,No,Agent Referral,3.0
CL100157,Individual,Male,United Arab Emirates,Middle East,1989-07-05,Investment,No,Friend/Family,5.0
CL100158,Individual,Male,India,South Asia,1985-02-24,Investment,No,Agent Referral,5.0
CL100159,Individual,Male,India,South Asia,1998-06-22,Personal use,Yes,Social Media,5.0
CL100160,Corporate,Not Specified,United States,North America - West,1980-12-24,Investment,Yes,Friend/Family,
CL100161,Individual,Female,Australia,Oceania,2002-04-17,Personal use,No,Social Media,3.0
CL100162,Individual,Male,Canada,North America - East,1978-09-20,Personal use,Yes,Website,3.0
CL100163,Individual,Female,United States,North America - East,1989-07-04,Investment,Yes,Agent Referral,4.0
CL100164,Individual,Female,United Arab Emirates,Middle East,2004-05-23,Investment,No,Property Portal,4.0
CL100165,Individual,Female,United Kingdom,Europe - West,1986-04-16,Personal use,Yes,Event,3.0
CL100166,Individual,Male,Singapore,Southeast Asia,1999-06-24,Investment,No,Social Media,3.0
CL100167,Individual,Female,Singapore,Southeast Asia,1967-03-12,Personal use,Yes,Website,4.0
CL100168,Corporate,Not Specified,United Kingdom,Europe - West,1981-10-18,Investment,No,Agent Referral,1.0
CL100169,Individual,Female,Brazil,Latin America,1978-01-19,Investment,Yes,Social Media,4.0
CL100170,Individual,Female,United Kingdom,Europe - West,1974-06-15,Investment,Yes,Website,3.0
CL100171,Corporate,Not Specified,France,Europe - West,1975-02-01,Investment,Yes,Property Portal,4.0
CL100172,Individual,Male,Canada,North America - East,1984-10-16,Personal use,Yes,Social Media,4.0
CL100173,Corporate,Not Specified,Australia,Oceania,1968-07-11,Investment,No,,5.0
CL100174,Corporate,Not Specified,United States,North America - East,1977-07-13,Investment,No,Agent Referral,4.0
CL100175,Corporate,Not Specified,United States,North America - East,1992-09-17,Investment,No,Website,3.0
CL100176,Individual,Male,Germany,Europe - West,1999-11-27,Personal use,Yes,Social Media,3.0
CL100177,Individual,Female,Brazil,Latin America,1978-12-06,Personal use,Yes,Social Media,4.0
CL100178,Individual,Female,Australia,Oceania,1991-05-04,Investment,Yes,Agent Referral,3.0
CL100179,Individual,Male,India,South Asia,1981-11-20,Investment,Yes,Friend/Family,5.0
CL100180,Individual,Male,Australia,Oceania,1975-02-11,Investment,Yes,Agent Referral,4.0
CL100181,Individual,Female,Australia,Oceania,1977-10-13,Personal use,Yes,Social Media,4.0
CL100182,Corporate,Not Specified,France,Europe - West,1986-11-01,Investment,No,Property Portal,2.0
CL100183,Individual,Male,United Kingdom,Europe - West,1977-10-20,Investment,No,Agent Referral,3.0
CL100184,Individual,Male,India,South Asia,1978-05-15,Investment,Yes,Agent Referral,2.0
CL100185,Individual,Male,United Arab Emirates,Middle East,1969-02-18,Personal use,Yes,Property Portal,4.0
CL100186,Individual,Other,United Kingdom,Europe - West,1986-08-03,Investment,No,Agent Referral,4.0
CL100187,Individual,Male,United States,North America - East,1983-11-12,Personal use,Yes,Agent Referral,4.0
CL100188,Individual,Male,India,South Asia,1975-06-12,Investment,Yes,Property Portal,4.0
CL100189,Corporate,Not Specified,Canada,North America - East,1980-04-24,Investment,No,Social Media,4.0
CL100190,Individual,Male,Australia,Oceania,2000-02-26,Personal use,Yes,Property Portal,3.0
CL100191,Individual,Male,Canada,North America - East,1979-12-22,Investment,No,Social Media,4.0
CL100192,Individual,Other,United States,North America - East,1988-01-09,Personal use,No,Social Media,4.0
CL100193,Individual,Female,Singapore,Southeast Asia,1998-10-17,Investment,No,Website,4.0
CL100194,Individual,Male,United States,North America - East,1980-01-18,Investment,No,Website,4.0
CL100195,Individual,Male,United States,North America - West,1969-12-21,Personal use,Yes,Social Media,5.0
CL100196,Corporate,Not Specified,United Arab Emirates,Middle East,1977-03-11,Investment,No,Website,5.0
CL100197,Individual,Male,Singapore,Southeast Asia,1974-05-08,Personal use,Yes,Social Media,2.0
CL100198,Individual,Female,United States,North America - West,2003-10-31,Personal use,Yes,Agent Referral,4.0
CL100199,Individual,Male,United Kingdom,Europe - West,1990-05-18,Personal use,Yes,Website,3.0
CL100200,Individual,Female,India,South Asia,1965-02-24,Investment,No,Social Media,5.0
CL100201,Corporate,Not Specified,Brazil,Latin America,1990-06-18,Investment,No,Friend/Family,4.0
CL100202,Individual,Male,France,Europe - West,1985-04-10,Investment,No,Agent Referral,
CL100203,Corporate,Not Specified,United States,North America - East,1976-05-25,Personal use,Yes,Property Portal,2.0
CL100204,Individual,Male,United States,North America - East,2004-06-26,Personal use,No,Website,3.0
CL100205,Individual,Male,Canada,North America - East,1984-12-08,Investment,Yes,Website,5.0
CL100206,Individual,Female,United States,North America - West,1984-12-27,Personal use,Yes,Property Portal,4.0
CL100207,Individual,Male,India,South Asia,1965-01-25,Investment,No,Property Portal,3.0
CL100208,Corporate,Not Specified,United States,North America - East,1982-09-04,Investment,No,Agent Referral,4.0
CL100209,Individual,Female,France,Europe - West,1990-07-03,Personal use,Yes,Agent Referral,3.0
CL100210,Corporate,Not Specified,India,South Asia,1979-07-18,Investment,No,Property Portal,4.0
CL100211,Corporate,Not Specified,United Arab Emirates,Middle East,1971-01-21,Investment,No,Social Media,3.0
CL100212,Individual,Male,United States,North America - East,1972-11-15,Investment,No,Website,3.0
CL100213,Individual,Female,Singapore,Southeast Asia,1985-05-18,Personal use,Yes,Website,3.0
CL100214,Individual,Male,India,South Asia,1992-06-03,Personal use,No,Website,5.0
CL100215,Individual,Male,India,South Asia,1991-03-13,Investment,No,Property Portal,4.0
CL100216,Corporate,Not Specified,United States,North America - East,1971-10-12,Personal use,Yes,Social Media,4.0
CL100217,Individual,Female,United States,North America - East,1991-05-20,Personal use,No,Agent Referral,4.0
CL100218,Corporate,Not Specified,Australia,Oceania,1987-06-24,Personal use,No,Website,5.0
CL100219,Individual,Female,United Kingdom,Europe - West,1988-03-26,Personal use,No,Website,3.0
CL100220,Individual,Male,United Kingdom,Europe - West,1988-11-02,Investment,No,Friend/Family,3.0
CL100221,Individual,Male,France,Europe - West,1994-01-08,Personal use,Yes,Property Portal,4.0
CL100222,Individual,Male,United Arab Emirates,Middle East,1984-03-28,Investment,No,Social Media,4.0
CL100223,Corporate,Not Specified,Brazil,Latin America,1963-01-16,Investment,No,Property Portal,4.0
CL100224,Individual,Female,United Kingdom,Europe - West,1992-09-26,Personal use,Yes,Agent Referral,4.0
CL100225,Corporate,Not Specified,Australia,Oceania,1987-01-02,Investment,No,Social Media,5.0
CL100226,Corporate,Not Specified,United States,North America - East,1975-09-01,Investment,No,Agent Referral,5.0
CL100227,Corporate,Not Specified,United Arab Emirates,Middle East,1968-05-18,Personal use,No,Website,3.0
CL100228,Individual,Male,United Arab Emirates,Middle East,1997-05-26,Investment,No,Social Media,2.0
CL100229,Corporate,Not Specified,United States,North America - East,1972-01-28,Investment,No,Property Portal,3.0
CL100230,Individual,Female,United States,North America - West,1997-07-05,Personal use,No,Website,3.0
CL100231,Individual,Female,Germany,Europe - West,1974-07-11,Personal use,Yes,Social Media,4.0
CL100232,Individual,Female,Brazil,Latin America,1989-11-14,Investment,Yes,Property Portal,4.0
CL100233,Individual,Female,United Arab Emirates,Middle East,1983-04-13,Personal use,Yes,Property Portal,3.0
CL100234,Individual,Female,Australia,Oceania,1964-01-12,Personal use,No,Social Media,3.0
CL100235,Individual,Male,Singapore,Southeast Asia,1986-03-05,Personal use,No,Website,3.0
CL100236,Individual,Female,Germany,Europe - West,1978-02-21,Investment,Yes,Property Portal,4.0
CL100237,Corporate,Not Specified,India,South Asia,1990-01-25,Investment,No,Website,4.0
CL100238,Individual,Female,United States,North America - West,1992-02-01,Personal use,Yes,Agent Referral,5.0
CL100239,Individual,Female,United States,North America - East,1973-11-08,Investment,No,Website,
CL100240,Individual,Female,Singapore,Southeast Asia,1994-12-19,Personal use,Yes,Social Media,4.0
CL100241,Individual,Female,India,South Asia,1971-06-18,Personal use,Yes,Social Media,2.0
CL100242,Corporate,Not Specified,Canada,North America - East,1983-08-04,Investment,No,Property Portal,3.0
CL100243,Individual,Female,France,Europe - West,1990-11-28,Personal use,Yes,Social Media,4.0
CL100244,Individual,Male,United Arab Emirates,Middle East,1997-05-18,Personal use,Yes,Event,3.0
CL100245,Corporate,Not Specified,Singapore,Southeast Asia,1996-06-09,Personal use,No,Social Media,3.0
CL100246,Corporate,Not Specified,United Arab Emirates,Middle East,1993-08-22,Investment,No,Social Media,5.0
CL100247,Individual,Male,Germany,Europe - West,2004-03-11,Investment,Yes,Website,3.0
CL100248,Individual,Female,United Kingdom,Europe - West,1988-03-30,Personal use,Yes,Website,4.0
CL100249,Individual,Female,Germany,Europe - West,1990-12-04,Personal use,Yes,Social Media,
CL100250,Individual,Male,United Arab Emirates,Middle East,1977-01-05,Personal use,No,Friend/Family,4.0
CL100251,Corporate,Not Specified,Singapore,Southeast Asia,1961-01-19,Investment,No,Agent Referral,5.0
CL100252,Individual,Female,Germany,Europe - West,1993-03-19,Investment,No,Social Media,3.0
CL100253,Corporate,Not Specified,Canada,North America - East,1987-11-23,Investment,No,Agent Referral,5.0
CL100254,Individual,Female,Canada,North America - East,1987-10-10,Investment,No,Agent Referral,4.0
CL100255,Individual,Other,India,South Asia,1968-12-14,Personal use,Yes,Agent Referral,4.0
CL100256,Corporate,Not Specified,Singapore,Southeast Asia,1967-06-03,Investment,No,Website,4.0
CL100257,Corporate,Not Specified,United States,North America - West,1974-06-28,Investment,No,Agent Referral,
CL100258,Corporate,Not Specified,United States,North America - West,1963-10-09,Investment,Yes,Property Portal,3.0
CL100259,Corporate,Not Specified,United Arab Emirates,Middle East,1975-10-09,Investment,No,Property Portal,4.0
CL100260,Individual,Male,United States,North America - East,1982-01-10,Investment,Yes,Website,3.0
CL100261,Individual,Male,Singapore,Southeast Asia,1982-10-27,Personal use,No,Website,5.0
CL100262,Individual,Male,United Kingdom,Europe - West,1970-12-24,Personal use,Yes,Social Media,3.0
CL100263,Individual,Male,United States,North America - East,1974-05-02,Personal use,No,Agent Referral,5.0
CL100264,Individual,Male,Australia,Oceania,1959-08-19,Personal use,Yes,Property Portal,4.0
CL100265,Corporate,Not Specified,United States,North America - West,1993-09-14,Investment,Yes,Social Media,4.0
CL100266,Individual,Male,United Kingdom,Europe - West,1987-12-18,Personal use,Yes,Property Portal,3.0
CL100267,Individual,Female,United States,North America - East,2000-06-11,Investment,No,Website,4.0
CL100268,Individual,Male,United States,North America - East,1978-05-20,Investment,Yes,Event,4.0
CL100269,Individual,Male,United States,North America - East,1983-12-03,Personal use,Yes,Friend/Family,4.0
CL100270,Individual,Male,United States,North America - East,1978-04-13,Investment,No,Friend/Family,3.0
CL100271,Individual,Female,United States,North America - East,1997-10-18,Investment,No,Event,2.0
CL100272,Individual,Male,United States,North America - East,1982-03-19,Personal use,Yes,Social Media,5.0
CL100273,Individual,Male,United Arab Emirates,Middle East,1982-12-05,Investment,Yes,Website,1.0
CL100274,Corporate,Not Specified,India,South Asia,1971-08-23,Investment,No,Social Media,4.0
CL100275,Individual,Other,United Kingdom,Europe - West,1993-05-10,Personal use,Yes,Property Portal,3.0
CL100276,Individual,Male,United Kingdom,Europe - West,1972-08-01,Personal use,Yes,Property Portal,4.0
CL100277,Individual,Male,France,Europe - West,1963-09-19,Personal use,Yes,Social Media,3.0
CL100278,Individual,Female,Singapore,Southeast Asia,1997-10-04,Personal use,No,Friend/Family,4.0
CL100279,Individual,Male,Singapore,Southeast Asia,1978-03-31,Personal use,Yes,Agent Referral,4.0
CL100280,Corporate,Not Specified,United States,North America - East,1961-06-02,Investment,No,Agent Referral,5.0
CL100281,Individual,Female,United States,North America - West,1978-05-21,Personal use,Yes,Social Media,4.0
CL100282,Individual,Male,Canada,North America - East,2004-07-03,Investment,No,Agent Referral,5.0
CL100283,Individual,Male,Canada,North America - East,1991-08-19,Personal use,Yes,Website,2.0
CL100284,Corporate,Not Specified,United Arab Emirates,Middle East,1976-11-06,Personal use,No,,5.0
CL100285,Individual,Male,Germany,Europe - West,1988-08-25,Investment,No,Social Media,4.0
CL100286,Individual,Female,United States,North America - East,1976-05-18,Personal use,Yes,Social Media,4.0
CL100287,Corporate,Not Specified,United Kingdom,Europe - West,1961-08-15,Investment,Yes,Website,4.0
CL100288,Individual,Female,France,Europe - West,1988-10-28,Investment,No,Agent Referral,5.0
CL100289,Individual,Male,United States,North America - West,1991-07-19,Personal use,Yes,Friend/Family,4.0
CL100290,Individual,Female,Singapore,Southeast Asia,1968-05-17,Personal use,Yes,Property Portal,3.0
CL100291,Individual,Female,United States,North America - West,1981-01-02,Investment,No,Website,3.0
CL100292,Corporate,Not Specified,Australia,Oceania,1961-03-15,Investment,No,Property Portal,5.0
CL100293,Individual,Female,United States,North America - West,1991-05-16,Personal use,Yes,Property Portal,4.0
CL100294,Individual,Female,Singapore,Southeast Asia,1968-03-16,Investment,No,Property Portal,3.0
CL100295,Individual,Female,Australia,Oceania,1978-04-29,Investment,Yes,Social Media,4.0
CL100296,Individual,Male,Brazil,Latin America,1996-06-17,Personal use,Yes,Agent Referral,3.0
CL100297,Corporate,Not Specified,Singapore,Southeast Asia,1978-03-01,Investment,No,Property Portal,4.0
