client_id,client_type,gender,country,region,acquisition_purpose,loan_applied,referral_channel,satisfaction_score,age,is_investor,has_loan,is_corporate,age_group,cluster,segment,pca_1,pca_2
CL100065,Corporate,Not Specified,United Arab Emirates,Middle East,Investment,No,Agent Referral,4.0,33.0,1,0,1,30-39,2,Corporate Investors,2.988855133877007,0.9000932161739645
CL100066,Corporate,Not Specified,United Arab Emirates,Middle East,Investment,No,Agent Referral,4.0,33.0,1,0,1,30-39,2,Corporate Investors,2.988855133877007,0.9000932161739645
CL100067,Individual,Female,United Kingdom,Europe - West,Investment,No,Social Media,3.0,51.0,1,0,0,50-59,1,Cash Investors,1.4946646453116263,-1.2414102322339837
CL100068,Individual,Male,United States,North America - West,Personal use,Yes,Friend/Family,5.0,56.0,0,1,0,50-59,0,Mortgage Home Buyers,-2.0296056729976315,0.8283979652454292
CL100069,Individual,Female,Germany,Europe - West,Investment,No,Friend/Family,3.0,47.0,1,0,0,40-49,1,Cash Investors,1.4508428933663178,-1.367735343306848
CL100070,Individual,Male,United States,North America - West,Personal use,Yes,Social Media,3.0,63.0,0,1,0,60+,0,Mortgage Home Buyers,-2.0630404209179924,1.0918504555188389
CL100071,Individual,Male,Germany,Europe - West,Investment,No,Website,5.0,47.0,1,0,0,40-49,1,Cash Investors,1.5604439676558346,-1.4130552803943806
CL100072,Individual,Female,Singapore,Southeast Asia,Personal use,Yes,Property Portal,4.0,44.0,0,1,0,40-49,0,Mortgage Home Buyers,-2.216829190872621,0.4792016035826755
CL100073,Individual,Male,Canada,North America - East,Personal use,Yes,Website,3.0,44.0,0,1,0,40-49,0,Mortgage Home Buyers,-2.273531574747885,0.49855083144352935
CL100074,Individual,Female,United States,North America - East,Investment,No,Social Media,3.0,27.0,1,0,0,<30,1,Cash Investors,1.2293126769003844,-1.9864528390545946
CL100075,Individual,Female,United Kingdom,Europe - West,Personal use,Yes,Property Portal,2.0,52.0,0,1,0,50-59,0,Mortgage Home Buyers,-2.238804030652615,0.7715461925375149
CL100076,Individual,Male,United Kingdom,Europe - West,Personal use,No,Property Portal,4.0,22.0,0,0,0,<30,5,Cash Home Buyers,-0.9970732700958173,-0.5865795078687086
CL100077,Individual,Male,United Arab Emirates,Middle East,Investment,Yes,Website,4.0,35.0,1,1,0,30-39,3,Leveraged Investors,-0.09043998966209955,-1.3807526685982106
CL100078,Corporate,Not Specified,United Arab Emirates,Middle East,Investment,No,Agent Referral,5.0,36.0,1,0,1,30-39,2,Corporate Investors,3.0772368778869494,0.9712250153525563
CL100079,Individual,Female,India,South Asia,Personal use,Yes,Social Media,2.0,32.0,0,1,0,30-39,0,Mortgage Home Buyers,-2.460999461407717,0.1515022817162014
CL100080,Corporate,Not Specified,United Arab Emirates,Middle East,Investment,No,Agent Referral,3.0,34.0,1,0,1,30-39,2,Corporate Investors,2.944698717935605,0.9531351847988079
CL100081,Corporate,Not Specified,Germany,Europe - West,Investment,No,Friend/Family,4.0,36.0,1,0,1,30-39,2,Corporate Investors,3.0221697777532537,0.9906516969964471
CL100082,Individual,Female,Singapore,Southeast Asia,Investment,No,Social Media,5.0,53.0,1,0,0,50-59,1,Cash Investors,1.6272028052629712,-1.2233204016802353
CL100083,Individual,Female,United States,North America - East,Personal use,Yes,Agent Referral,5.0,34.0,0,1,0,30-39,0,Mortgage Home Buyers,-2.272990625199445,0.14801408735662985
CL100084,Individual,Female,United States,North America - East,Personal use,No,Agent Referral,4.0,36.0,0,0,0,30-39,5,Cash Home Buyers,-0.8430954839699366,-0.15072589060015895
CL100085,Individual,Male,United States,North America - West,Personal use,Yes,Friend/Family,3.0,26.0,0,1,0,<30,0,Mortgage Home Buyers,-2.471721129428759,-0.058908239932365165
CL100086,Individual,Male,India,South Asia,Personal use,Yes,Property Portal,2.0,48.0,0,1,0,40-49,0,Mortgage Home Buyers,-2.2830293587211554,0.6473724247340797
CL100087,Individual,Male,Germany,Europe - West,Investment,No,Agent Referral,4.0,39.0,1,0,0,30-39,1,Cash Investors,1.4174593373629327,-1.635509560557609
CL100088,Corporate,Not Specified,United States,North America - West,Investment,No,Website,4.0,47.0,1,0,1,40-49,2,Corporate Investors,3.142965008314182,1.33080667471633
CL100089,Corporate,Not Specified,France,Europe - West,Personal use,No,Agent Referral,4.0,63.0,0,0,1,60+,4,Corporate Buyers,1.0931592691095953,3.4093104705097543
CL100090,Corporate,Not Specified,United States,North America - East,Investment,No,Friend/Family,4.0,32.0,1,0,1,30-39,2,Corporate Investors,2.9779444496847134,0.8664779291930119
CL100091,Individual,Male,India,South Asia,Investment,No,Friend/Family,3.0,52.0,1,0,0,50-59,1,Cash Investors,1.5061245534519931,-1.2125181335525541
CL100092,Individual,Male,Germany,Europe - West,Investment,No,Property Portal,3.0,40.0,1,0,0,30-39,1,Cash Investors,1.3741137835355415,-1.5837130218892925
CL100093,Corporate,Not Specified,United Kingdom,Europe - West,Investment,No,Unknown,5.0,48.0,1,0,1,40-49,2,Corporate Investors,3.2096997033886105,1.3429546851381806
CL100094,Individual,Female,United Kingdom,Europe - West,Personal use,Yes,Social Media,3.0,63.0,0,1,0,60+,0,Mortgage Home Buyers,-2.0630404209179924,1.0918504555188389
CL100095,Individual,Female,United Arab Emirates,Middle East,Personal use,No,Property Portal,4.0,42.0,0,0,0,40-49,5,Cash Home Buyers,-0.7759466297531153,0.034289331148466995
CL100096,Individual,Male,United Kingdom,Europe - West,Investment,Yes,Agent Referral,4.0,49.0,1,1,0,40-49,3,Leveraged Investors,0.0650274323805079,-0.9422497525165301
CL100097,Individual,Male,United States,North America - East,Investment,No,Social Media,4.0,36.0,1,0,0,30-39,1,Cash Investors,1.3840324130131374,-1.72906038817085
CL100098,Individual,Male,United States,North America - East,Investment,No,Social Media,4.0,49.0,1,0,0,40-49,1,Cash Investors,1.5277647292358936,-1.3254956428096858
CL100099,Individual,Female,Brazil,Latin America,Personal use,Yes,Friend/Family,4.0,24.0,0,1,0,<30,0,Mortgage Home Buyers,-2.4386210455044917,-0.14299365050806717
CL100100,Individual,Female,Australia,Oceania,Personal use,No,Property Portal,3.0,35.0,0,0,0,30-39,5,Cash Home Buyers,-0.9085537018315982,-0.16101623583356
CL100101,Individual,Male,India,South Asia,Investment,No,Agent Referral,4.0,28.0,1,0,0,<30,1,Cash Investors,1.295839685174447,-1.9769874220170558
CL100102,Individual,Female,Canada,North America - East,Personal use,Yes,Property Portal,5.0,34.0,0,1,0,30-39,0,Mortgage Home Buyers,-2.272179763085435,0.14676865740010314
CL100103,Individual,Female,Brazil,Latin America,Investment,No,Property Portal,3.0,54.0,1,0,0,50-59,1,Cash Investors,1.5289024317754327,-1.1491048345772696
CL100104,Individual,Female,India,South Asia,Personal use,Yes,Event,4.0,34.0,0,1,0,30-39,0,Mortgage Home Buyers,-2.328369089112371,0.16849766058731222
CL100105,Corporate,Not Specified,India,South Asia,Investment,No,Social Media,5.0,61.0,1,0,1,60+,2,Corporate Investors,3.3533872500169366,1.746890562363361
CL100106,Individual,Male,Germany,Europe - West,Investment,Yes,Unknown,4.0,58.0,1,1,0,50-59,3,Leveraged Investors,0.16432126183076384,-0.6636504085834819
CL100107,Individual,Female,Canada,North America - East,Personal use,Yes,Property Portal,4.0,41.0,0,1,0,40-49,0,Mortgage Home Buyers,-2.249998186924026,0.3860712777300992
CL100108,Individual,Male,United States,North America - West,Personal use,Yes,Friend/Family,5.0,51.0,0,1,0,50-59,0,Mortgage Home Buyers,-2.0848873330833073,0.6731807554911353
CL100109,Individual,Female,Australia,Oceania,Investment,Yes,Agent Referral,4.0,46.0,1,1,0,40-49,3,Leveraged Investors,0.03185843632910267,-1.0353800783691065
CL100110,Corporate,Not Specified,Germany,Europe - West,Investment,No,Property Portal,4.0,36.0,1,0,1,30-39,2,Corporate Investors,3.0228349920424225,0.9919781120700143
CL100111,Individual,Male,United States,North America - East,Personal use,Yes,Friend/Family,3.0,49.0,0,1,0,40-49,0,Mortgage Home Buyers,-2.2174254930346518,0.6550909249373869
CL100112,Individual,Male,United Kingdom,Europe - West,Investment,Yes,Social Media,4.0,61.0,1,1,0,60+,3,Leveraged Investors,0.1974454882877386,-0.5701489508668893
CL100113,Individual,Male,United Arab Emirates,Middle East,Personal use,No,Event,5.0,33.0,0,0,0,30-39,5,Cash Home Buyers,-0.821217448017193,-0.2673696965700221
CL100114,Individual,Male,United States,North America - West,Personal use,No,Agent Referral,4.0,31.0,0,0,0,30-39,5,Cash Home Buyers,-0.898377144055612,-0.30594310035445293
CL100115,Corporate,Not Specified,Singapore,Southeast Asia,Investment,Yes,Friend/Family,2.0,50.0,1,1,1,40-49,2,Corporate Investors,1.6035377049222943,1.85208232618893
CL100116,Corporate,Not Specified,India,South Asia,Personal use,No,Agent Referral,5.0,62.0,0,0,1,60+,4,Corporate Buyers,1.1373156850509973,3.3562685018849105
CL100117,Corporate,Not Specified,India,South Asia,Investment,No,Social Media,3.0,62.0,1,0,1,60+,2,Corporate Investors,3.254018086116997,1.821931057662189
CL100118,Corporate,Not Specified,Germany,Europe - West,Investment,Yes,Agent Referral,4.0,30.0,1,1,1,<30,2,Corporate Investors,1.4926909126718255,1.189788278853879
CL100119,Individual,Male,United Arab Emirates,Middle East,Personal use,Yes,Agent Referral,4.0,22.0,0,1,0,<30,0,Mortgage Home Buyers,-2.4608793573636034,-0.2025086893796909
CL100120,Corporate,Not Specified,United Arab Emirates,Middle East,Investment,No,Agent Referral,5.0,64.0,1,0,1,60+,2,Corporate Investors,3.386814174366732,1.8404413899766021
CL100121,Individual,Male,United Arab Emirates,Middle East,Personal use,Yes,Website,3.0,48.0,0,1,0,40-49,0,Mortgage Home Buyers,-2.2293062466793447,0.6227245992469645
CL100122,Corporate,Not Specified,United States,North America - East,Personal use,Yes,Website,3.0,37.0,0,1,1,30-39,4,Corporate Buyers,-0.7131921102509464,3.003110166224244
CL100123,Individual,Female,Germany,Europe - West,Investment,No,Friend/Family,4.0,43.0,1,0,0,40-49,1,Cash Investors,1.4618303132563146,-1.5139076377842677
CL100124,Individual,Male,United States,North America - West,Personal use,Yes,Agent Referral,3.0,35.0,0,1,0,30-39,0,Mortgage Home Buyers,-2.3723597890993844,0.2230545826554577
CL100125,Individual,Female,France,Europe - West,Investment,No,Website,5.0,53.0,1,0,0,50-59,1,Cash Investors,1.6267819597586453,-1.226794628689228
CL100126,Corporate,Not Specified,United Kingdom,Europe - West,Investment,No,Website,3.0,46.0,1,0,1,40-49,2,Corporate Investors,3.0766959283385096,1.3217617594394557
CL100127,Individual,Male,United States,North America - West,Personal use,No,Website,5.0,48.0,0,0,0,40-49,5,Cash Home Buyers,-0.6558855256084946,0.1959021573665045
CL100128,Individual,Female,United States,North America - East,Investment,No,Website,4.0,42.0,1,0,0,40-49,1,Cash Investors,1.4499495596116219,-1.54627396347469
CL100129,Individual,Female,United Arab Emirates,Middle East,Personal use,Yes,Event,3.0,46.0,0,1,0,40-49,0,Mortgage Home Buyers,-2.250905852865287,0.5630174906716022
CL100130,Corporate,Not Specified,United States,North America - West,Investment,No,Social Media,4.0,57.0,1,0,1,50-59,2,Corporate Investors,3.253949173989859,1.6447153212339105
CL100131,Individual,Male,Australia,Oceania,Personal use,Yes,Agent Referral,4.0,31.0,0,1,0,30-39,0,Mortgage Home Buyers,-2.3613723692093878,0.07688228817803802
CL100132,Individual,Female,United Arab Emirates,Middle East,Personal use,Yes,Social Media,3.0,45.0,0,1,0,40-49,0,Mortgage Home Buyers,-2.2620543972264238,0.5330685004033809
CL100133,Individual,Other,United Kingdom,Europe - West,Personal use,Yes,Website,4.0,50.0,0,1,0,40-49,0,Mortgage Home Buyers,-2.1519808346865372,0.6628129564746974
CL100134,Individual,Female,United Arab Emirates,Middle East,Investment,Yes,Friend/Family,4.0,53.0,1,1,0,50-59,3,Leveraged Investors,0.10939840827388973,-0.8206478297431888
CL100135,Individual,Male,United States,North America - West,Personal use,Yes,Event,3.0,46.0,0,1,0,40-49,0,Mortgage Home Buyers,-2.250905852865287,0.5630174906716022
CL100136,Individual,Male,Brazil,Latin America,Personal use,Yes,Website,4.0,31.0,0,1,0,30-39,0,Mortgage Home Buyers,-2.362051143012104,0.07298755940838059
CL100137,Corporate,Not Specified,France,Europe - West,Investment,No,Website,2.0,34.0,1,0,1,30-39,2,Corporate Investors,2.8888071961743513,0.9712389827031348
CL100138,Corporate,Not Specified,India,South Asia,Investment,No,Social Media,2.0,43.0,1,0,1,40-49,2,Corporate Investors,2.988735029832893,1.2541041872698566
CL100139,Corporate,Not Specified,United States,North America - West,Personal use,No,Website,4.0,55.0,0,0,1,50-59,4,Corporate Buyers,1.0040298391697984,3.1570682061332267
CL100140,Individual,Male,France,Europe - West,Investment,Yes,Website,3.0,39.0,1,1,0,30-39,3,Leveraged Investors,-0.1014274095520964,-1.2345803741207908
CL100141,Individual,Female,France,Europe - West,Investment,Yes,Friend/Family,3.0,29.0,1,1,0,<30,3,Leveraged Investors,-0.21116630809588963,-1.543691909889815
CL100142,Individual,Male,Australia,Oceania,Personal use,No,Social Media,4.0,29.0,0,0,0,<30,5,Cash Home Buyers,-0.9207477363882723,-0.3684504860168351
CL100143,Corporate,Not Specified,United Arab Emirates,Middle East,Investment,No,Agent Referral,4.0,43.0,1,0,1,40-49,2,Corporate Investors,3.0994184540483576,1.2105276356825523
CL100144,Individual,Female,Germany,Europe - West,Personal use,No,Property Portal,3.0,23.0,0,0,0,<30,5,Cash Home Buyers,-1.0412296860372192,-0.5335375392438653
CL100145,Individual,Other,Canada,North America - East,Personal use,Yes,Website,2.0,39.0,0,1,0,30-39,0,Mortgage Home Buyers,-2.3840259827920978,0.36533214836321987
CL100146,Individual,Female,United Kingdom,Europe - West,Personal use,Yes,Agent Referral,2.0,66.0,0,1,0,60+,0,Mortgage Home Buyers,-2.084826244526734,1.2073998098060643
CL100147,Individual,Male,France,Europe - West,Personal use,Yes,Friend/Family,4.0,61.0,0,1,0,60+,0,Mortgage Home Buyers,-2.0295367608704935,1.0056137016737077
CL100148,Individual,Female,Germany,Europe - West,Personal use,Yes,Social Media,4.0,30.0,0,1,0,<30,0,Mortgage Home Buyers,-2.372686629524913,0.04541834446651471
CL100149,Individual,Male,United States,North America - West,Personal use,Yes,Social Media,4.0,42.0,0,1,0,40-49,0,Mortgage Home Buyers,-2.2400106453192916,0.41793964787682003
CL100150,Individual,Other,Singapore,Southeast Asia,Personal use,Yes,Unknown,3.0,24.0,0,1,0,<30,0,Mortgage Home Buyers,-2.4941925999918304,-0.1192149124286697
CL100151,Individual,Male,Australia,Oceania,Personal use,No,Friend/Family,4.0,27.0,0,0,0,<30,5,Cash Home Buyers,-0.9424568242993108,-0.43268871318798185
CL100152,Individual,Female,United States,North America - East,Investment,No,Property Portal,4.0,28.0,1,0,0,<30,1,Cash Investors,1.2966505472884577,-1.9782328519735826
CL100153,Corporate,Not Specified,United Arab Emirates,Middle East,Investment,No,Social Media,4.0,50.0,1,0,1,40-49,2,Corporate Investors,3.1765548498699134,1.427411227577899
CL100154,Individual,Male,United States,North America - East,Personal use,Yes,Agent Referral,4.0,39.0,0,1,0,30-39,0,Mortgage Home Buyers,-2.272921713072307,0.32522982378490833
CL100155,Individual,Female,India,South Asia,Investment,No,Friend/Family,4.0,43.0,1,0,0,40-49,1,Cash Investors,1.4618303132563146,-1.5139076377842677
CL100156,Corporate,Not Specified,United Kingdom,Europe - West,Investment,No,Agent Referral,3.0,46.0,1,0,1,40-49,2,Corporate Investors,3.077374702141226,1.325656488209113
CL100157,Individual,Male,United Arab Emirates,Middle East,Investment,No,Friend/Family,5.0,37.0,1,0,0,30-39,1,Cash Investors,1.4507050691120416,-1.722166816163405
CL100158,Individual,Male,India,South Asia,Investment,No,Agent Referral,5.0,42.0,1,0,0,40-49,1,Cash Investors,1.5058410813728753,-1.5643777613790173
CL100159,Individual,Male,India,South Asia,Personal use,Yes,Social Media,5.0,28.0,0,1,0,<30,0,Mortgage Home Buyers,-2.3395865456006457,-0.03866706610918747
CL100160,Corporate,Not Specified,United States,North America - West,Investment,Yes,Friend/Family,4.0,46.0,1,1,1,40-49,2,Corporate Investors,1.6697378727708285,1.683911505037526
CL100161,Individual,Female,Australia,Oceania,Personal use,No,Social Media,3.0,24.0,0,0,0,<30,5,Cash Home Buyers,-1.031242144432485,-0.5016691690971445
CL100162,Individual,Male,Canada,North America - East,Personal use,Yes,Website,3.0,48.0,0,1,0,40-49,0,Mortgage Home Buyers,-2.2293062466793447,0.6227245992469645
CL100163,Individual,Female,United States,North America - East,Investment,Yes,Agent Referral,4.0,37.0,1,1,0,30-39,3,Leveraged Investors,-0.0676485518251132,-1.3147710559268357
CL100164,Individual,Female,United Arab Emirates,Middle East,Investment,No,Property Portal,4.0,22.0,1,0,0,<30,1,Cash Investors,1.230312555185647,-2.164493503678735
